event_ts_utc,sku,state,old_price_gbp,new_price_gbp,write_status,write_error,final_ceiling_landed_gbp,hard_floor_gbp,reason_codes_json
2026-03-01T15:28:08Z,CJ-X0SS-QOUW,REGAIN,14.22,11.30,READ_ONLY_NO_WRITE,,19.99,11.30,"[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""WRITER_LOCK_BLOCK""]"
2026-03-01T15:28:08Z,CX-SMCH-4DYA,REGAIN,8.84,8.84,NO_WRITE_REQUIRED,,8.65,8.67,"[""FEATURED_NOT_OURS_REGAIN"",""FAIL_CEILING_BELOW_HARD_FLOOR"",""FLOOR_PRIORITY_CEILING_CONFLICT"",""FLOOR_PRIORITY_ALREADY_SAFE_NO_WRITE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
2026-03-01T15:28:08Z,D0-C7C0-H6LN,REGAIN,6.0,6.00,NO_WRITE_REQUIRED,,2.57,7.31,"[""FEATURED_NOT_OURS_REGAIN"",""FAIL_CEILING_BELOW_HARD_FLOOR"",""FLOOR_PRIORITY_CEILING_CONFLICT"",""FLOOR_PRIORITY_ENFORCED"",""CPT_RISK_UNKNOWN_CONSERVATIVE_HOLD"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""WRITER_LOCK_BLOCK""]"
2026-03-01T15:44:56Z,0R-GRRH-W0Z9,HOLD_OBSERVE,5.76,5.76,NO_WRITE_REQUIRED,,9.99,6.79,"[""NO_RIVAL_HOLD"",""STATE_HOLD_NO_WRITE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF""]"
2026-03-01T15:44:56Z,5Z-6Z0P-9TQQ,REGAIN,3.64,3.58,READ_ONLY_NO_WRITE,,4.31,3.16,"[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""LIVE_WRITES_DISABLED""]"
2026-03-01T15:44:56Z,RW-AZK6-O4M2,DEFENSIVE_HOLD,3.5,3.5,READ_ONLY_NO_WRITE,daily_intel_missing_or_stale,,3.10,"[""DAILY_INTEL_MISSING"",""A_CYCLE_MISSING_DEFENSIVE_HOLD""]"
2026-03-01T15:44:56Z,0G-JB6S-PN34,HOLD_OBSERVE,5.9,5.90,NO_WRITE_REQUIRED,,2.48,6.22,"[""NO_RIVAL_HOLD"",""FAIL_CEILING_BELOW_HARD_FLOOR"",""FLOOR_PRIORITY_CEILING_CONFLICT"",""FLOOR_PRIORITY_ENFORCED"",""CPT_RISK_UNKNOWN_CONSERVATIVE_HOLD"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
2026-03-01T15:44:56Z,2G-AYBQ-TUQG,HOLD_OBSERVE,17.8,17.80,NO_WRITE_REQUIRED,,26.39,17.44,"[""NO_RIVAL_HOLD"",""STATE_HOLD_NO_WRITE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""WRITER_LOCK_BLOCK""]"
2026-03-01T15:44:56Z,3X-EXDD-TD2K,RAISE_FIND_LOSS,47.39,47.39,NO_WRITE_REQUIRED,,77.39,36.40,"[""MISSING_BOUND_RAISE_FIND_LOSS"",""STEP_RAISE_FIND_LOSS_UP"",""CPT_RISK_UNKNOWN_CONSERVATIVE_HOLD"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""WRITER_LOCK_BLOCK""]"
2026-03-01T15:44:56Z,4W-VS57-BV6A,RAISE_FIND_LOSS,34.98,34.98,NO_WRITE_REQUIRED,,44.99,34.98,"[""MISSING_BOUND_RAISE_FIND_LOSS"",""STEP_RAISE_FIND_LOSS_UP"",""CPT_RISK_UNKNOWN_CONSERVATIVE_HOLD"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_MIN_BBP_CPTX1_2"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF""]"
2026-03-01T15:49:33Z,6Q-9G2A-IKVV,HOLD_OBSERVE,16.0,16.00,NO_WRITE_REQUIRED,,13.20,15.39,"[""NO_RIVAL_HOLD"",""FAIL_CEILING_BELOW_HARD_FLOOR"",""FLOOR_PRIORITY_CEILING_CONFLICT"",""FLOOR_PRIORITY_ALREADY_SAFE_NO_WRITE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
2026-03-01T15:49:33Z,6V-EEC1-2S9Z,HOLD_OBSERVE,7.07,7.07,NO_WRITE_REQUIRED,,10.64,5.90,"[""NO_RIVAL_HOLD"",""STATE_HOLD_NO_WRITE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_BEHAVIOR_SKIPPED_EXCLUDED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""WRITER_LOCK_BLOCK""]"
2026-03-01T15:49:33Z,714810,HOLD_OBSERVE,9.99,9.99,NO_WRITE_REQUIRED,,9.99,4.66,"[""NO_RIVAL_HOLD"",""STATE_HOLD_NO_WRITE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""WRITER_LOCK_BLOCK""]"
2026-03-01T15:49:33Z,8M-NHB7-T8TR,HOLD_OBSERVE,29.23,29.23,NO_WRITE_REQUIRED,,39.59,29.36,"[""NO_RIVAL_HOLD"",""STATE_HOLD_NO_WRITE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""WRITER_LOCK_BLOCK""]"
2026-03-01T15:49:33Z,8U-QPFH-3EKQ,REGAIN,6.46,6.27,READ_ONLY_NO_WRITE,,8.75,6.27,"[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""WRITER_LOCK_BLOCK""]"
2026-03-01T15:49:33Z,9X-HL62-83C7,REGAIN,5.87,5.77,READ_ONLY_NO_WRITE,,5.99,5.77,"[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""WRITER_LOCK_BLOCK""]"
2026-03-01T15:49:33Z,A1-KSU1-GZMS,REGAIN,2.99,2.99,NO_WRITE_REQUIRED,,3.28,3.92,"[""FEATURED_NOT_OURS_REGAIN"",""FAIL_CEILING_BELOW_HARD_FLOOR"",""FLOOR_PRIORITY_CEILING_CONFLICT"",""FLOOR_PRIORITY_ENFORCED"",""CPT_RISK_UNKNOWN_CONSERVATIVE_HOLD"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
2026-03-01T15:49:33Z,A2-T2AC-TW3L,REGAIN,11.12,11.12,NO_WRITE_REQUIRED,,11.13,10.75,"[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""CPT_RISK_UNKNOWN_CONSERVATIVE_HOLD"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_INPUTS_MISSING"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""WRITER_LOCK_BLOCK""]"
2026-03-01T15:49:33Z,AF-KIHX-ANYY,REGAIN,4.99,4.99,NO_WRITE_REQUIRED,,2.40,3.45,"[""FEATURED_NOT_OURS_REGAIN"",""FAIL_CEILING_BELOW_HARD_FLOOR"",""FLOOR_PRIORITY_CEILING_CONFLICT"",""FLOOR_PRIORITY_ALREADY_SAFE_NO_WRITE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""WRITER_LOCK_BLOCK""]"
2026-03-01T15:49:33Z,AX-NKNU-29C1,REGAIN,2.71,2.71,NO_WRITE_REQUIRED,,1.38,2.91,"[""FEATURED_NOT_OURS_REGAIN"",""FAIL_CEILING_BELOW_HARD_FLOOR"",""FLOOR_PRIORITY_CEILING_CONFLICT"",""FLOOR_PRIORITY_ENFORCED"",""CPT_RISK_UNKNOWN_CONSERVATIVE_HOLD"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_MIN_BBP_CPTX1_2"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""WRITER_LOCK_BLOCK""]"
2026-03-01T15:49:33Z,BL-WX51-KQOK,HOLD_OBSERVE,9.99,9.99,NO_WRITE_REQUIRED,,9.99,6.76,"[""NO_RIVAL_HOLD"",""STATE_HOLD_NO_WRITE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""WRITER_LOCK_BLOCK""]"
2026-03-01T15:49:33Z,CJ-X0SS-QOUW,REGAIN,14.22,11.30,READ_ONLY_NO_WRITE,,19.99,11.30,"[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""WRITER_LOCK_BLOCK""]"
2026-03-01T15:49:33Z,CX-SMCH-4DYA,REGAIN,8.84,8.84,NO_WRITE_REQUIRED,,8.65,8.67,"[""FEATURED_NOT_OURS_REGAIN"",""FAIL_CEILING_BELOW_HARD_FLOOR"",""FLOOR_PRIORITY_CEILING_CONFLICT"",""FLOOR_PRIORITY_ALREADY_SAFE_NO_WRITE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
2026-03-01T15:49:33Z,D0-C7C0-H6LN,REGAIN,6.0,6.00,NO_WRITE_REQUIRED,,2.57,7.31,"[""FEATURED_NOT_OURS_REGAIN"",""FAIL_CEILING_BELOW_HARD_FLOOR"",""FLOOR_PRIORITY_CEILING_CONFLICT"",""FLOOR_PRIORITY_ENFORCED"",""CPT_RISK_UNKNOWN_CONSERVATIVE_HOLD"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""WRITER_LOCK_BLOCK""]"
2026-03-01T16:04:29Z,0R-GRRH-W0Z9,HOLD_OBSERVE,5.76,5.76,NO_WRITE_REQUIRED,,9.99,6.79,"[""NO_RIVAL_HOLD"",""STATE_HOLD_NO_WRITE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF""]"
2026-03-01T16:04:29Z,5Z-6Z0P-9TQQ,REGAIN,3.64,3.58,READ_ONLY_NO_WRITE,,4.31,3.16,"[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""LIVE_WRITES_DISABLED""]"
2026-03-01T16:04:29Z,RW-AZK6-O4M2,DEFENSIVE_HOLD,3.5,3.5,READ_ONLY_NO_WRITE,daily_intel_missing_or_stale,,3.10,"[""DAILY_INTEL_MISSING"",""A_CYCLE_MISSING_DEFENSIVE_HOLD""]"
2026-03-01T16:04:29Z,0G-JB6S-PN34,HOLD_OBSERVE,5.9,5.90,NO_WRITE_REQUIRED,,2.48,6.22,"[""NO_RIVAL_HOLD"",""FAIL_CEILING_BELOW_HARD_FLOOR"",""FLOOR_PRIORITY_CEILING_CONFLICT"",""FLOOR_PRIORITY_ENFORCED"",""CPT_RISK_UNKNOWN_CONSERVATIVE_HOLD"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
2026-03-01T16:04:29Z,2G-AYBQ-TUQG,HOLD_OBSERVE,17.8,17.80,NO_WRITE_REQUIRED,,26.39,17.44,"[""NO_RIVAL_HOLD"",""STATE_HOLD_NO_WRITE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""WRITER_LOCK_BLOCK""]"
2026-03-01T16:04:29Z,3X-EXDD-TD2K,RAISE_FIND_LOSS,47.39,47.39,NO_WRITE_REQUIRED,,77.39,36.40,"[""MISSING_BOUND_RAISE_FIND_LOSS"",""STEP_RAISE_FIND_LOSS_UP"",""CPT_RISK_UNKNOWN_CONSERVATIVE_HOLD"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""WRITER_LOCK_BLOCK""]"
2026-03-01T16:04:29Z,4W-VS57-BV6A,RAISE_FIND_LOSS,34.98,34.98,NO_WRITE_REQUIRED,,44.99,34.98,"[""MISSING_BOUND_RAISE_FIND_LOSS"",""STEP_RAISE_FIND_LOSS_UP"",""CPT_RISK_UNKNOWN_CONSERVATIVE_HOLD"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_MIN_BBP_CPTX1_2"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF""]"
2026-03-01T16:09:04Z,6Q-9G2A-IKVV,HOLD_OBSERVE,16.0,16.00,NO_WRITE_REQUIRED,,13.20,15.39,"[""NO_RIVAL_HOLD"",""FAIL_CEILING_BELOW_HARD_FLOOR"",""FLOOR_PRIORITY_CEILING_CONFLICT"",""FLOOR_PRIORITY_ALREADY_SAFE_NO_WRITE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
2026-03-01T16:09:04Z,6V-EEC1-2S9Z,HOLD_OBSERVE,7.07,7.07,NO_WRITE_REQUIRED,,10.64,5.90,"[""NO_RIVAL_HOLD"",""STATE_HOLD_NO_WRITE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_BEHAVIOR_SKIPPED_EXCLUDED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""WRITER_LOCK_BLOCK""]"
2026-03-01T16:09:04Z,714810,HOLD_OBSERVE,9.99,9.99,NO_WRITE_REQUIRED,,9.99,4.66,"[""NO_RIVAL_HOLD"",""STATE_HOLD_NO_WRITE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""WRITER_LOCK_BLOCK""]"
2026-03-01T16:09:04Z,8M-NHB7-T8TR,HOLD_OBSERVE,29.23,29.23,NO_WRITE_REQUIRED,,39.59,29.36,"[""NO_RIVAL_HOLD"",""STATE_HOLD_NO_WRITE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""WRITER_LOCK_BLOCK""]"
2026-03-01T16:09:04Z,8U-QPFH-3EKQ,REGAIN,6.46,6.27,READ_ONLY_NO_WRITE,,8.75,6.27,"[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""WRITER_LOCK_BLOCK""]"
2026-03-01T16:09:04Z,9X-HL62-83C7,REGAIN,5.87,5.77,READ_ONLY_NO_WRITE,,5.99,5.77,"[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""WRITER_LOCK_BLOCK""]"
2026-03-01T16:09:04Z,A1-KSU1-GZMS,REGAIN,2.99,2.99,NO_WRITE_REQUIRED,,3.28,3.92,"[""FEATURED_NOT_OURS_REGAIN"",""FAIL_CEILING_BELOW_HARD_FLOOR"",""FLOOR_PRIORITY_CEILING_CONFLICT"",""FLOOR_PRIORITY_ENFORCED"",""CPT_RISK_UNKNOWN_CONSERVATIVE_HOLD"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
2026-03-01T16:09:04Z,A2-T2AC-TW3L,REGAIN,11.12,11.12,NO_WRITE_REQUIRED,,11.13,10.75,"[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""CPT_RISK_UNKNOWN_CONSERVATIVE_HOLD"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_INPUTS_MISSING"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""WRITER_LOCK_BLOCK""]"
2026-03-01T16:09:04Z,AF-KIHX-ANYY,REGAIN,4.99,4.99,NO_WRITE_REQUIRED,,2.40,3.45,"[""FEATURED_NOT_OURS_REGAIN"",""FAIL_CEILING_BELOW_HARD_FLOOR"",""FLOOR_PRIORITY_CEILING_CONFLICT"",""FLOOR_PRIORITY_ALREADY_SAFE_NO_WRITE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""WRITER_LOCK_BLOCK""]"
2026-03-01T16:09:04Z,AX-NKNU-29C1,REGAIN,2.71,2.71,NO_WRITE_REQUIRED,,1.38,2.91,"[""FEATURED_NOT_OURS_REGAIN"",""FAIL_CEILING_BELOW_HARD_FLOOR"",""FLOOR_PRIORITY_CEILING_CONFLICT"",""FLOOR_PRIORITY_ENFORCED"",""CPT_RISK_UNKNOWN_CONSERVATIVE_HOLD"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_MIN_BBP_CPTX1_2"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""WRITER_LOCK_BLOCK""]"
2026-03-01T16:09:04Z,BL-WX51-KQOK,HOLD_OBSERVE,9.99,9.99,NO_WRITE_REQUIRED,,9.99,6.76,"[""NO_RIVAL_HOLD"",""STATE_HOLD_NO_WRITE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""WRITER_LOCK_BLOCK""]"
2026-03-01T16:09:04Z,CJ-X0SS-QOUW,REGAIN,14.22,11.30,READ_ONLY_NO_WRITE,,19.99,11.30,"[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""WRITER_LOCK_BLOCK""]"
2026-03-01T16:09:04Z,CX-SMCH-4DYA,REGAIN,8.84,8.84,NO_WRITE_REQUIRED,,8.65,8.67,"[""FEATURED_NOT_OURS_REGAIN"",""FAIL_CEILING_BELOW_HARD_FLOOR"",""FLOOR_PRIORITY_CEILING_CONFLICT"",""FLOOR_PRIORITY_ALREADY_SAFE_NO_WRITE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
2026-03-01T16:09:04Z,D0-C7C0-H6LN,REGAIN,6.0,6.00,NO_WRITE_REQUIRED,,2.57,7.31,"[""FEATURED_NOT_OURS_REGAIN"",""FAIL_CEILING_BELOW_HARD_FLOOR"",""FLOOR_PRIORITY_CEILING_CONFLICT"",""FLOOR_PRIORITY_ENFORCED"",""CPT_RISK_UNKNOWN_CONSERVATIVE_HOLD"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""WRITER_LOCK_BLOCK""]"
2026-03-01T16:24:01Z,0R-GRRH-W0Z9,HOLD_OBSERVE,5.76,5.76,NO_WRITE_REQUIRED,,9.99,6.79,"[""NO_RIVAL_HOLD"",""STATE_HOLD_NO_WRITE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF""]"
2026-03-01T16:24:01Z,5Z-6Z0P-9TQQ,REGAIN,3.64,3.58,READ_ONLY_NO_WRITE,,4.31,3.16,"[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_CPTX1_2_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""PHASE_LIVE_WRITE_BLOCKED_FLAG_OFF"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""LIVE_WRITES_DISABLED""]"
2026-03-01T16:24:01Z,RW-AZK6-O4M2,DEFENSIVE_HOLD,3.5,3.5,READ_ONLY_NO_WRITE,daily_intel_missing_or_stale,,3.10,"[""DAILY_INTEL_MISSING"",""A_CYCLE_MISSING_DEFENSIVE_HOLD""]"
