event_ts_utc,sku,asin,hold_buy_box_missing_count,hold_outcome_unknown_count,allowed_to_act_count
2026-03-01T17:07:33Z,CJ-X0SS-QOUW,B0CG234KW1,0,0,1
2026-03-01T17:07:33Z,CX-SMCH-4DYA,B0012B80HG,0,0,1
2026-03-01T17:07:33Z,D0-C7C0-H6LN,B07F1MFWV1,1,1,0
2026-03-01T17:22:32Z,0R-GRRH-W0Z9,B09NQD4S5N,0,0,1
2026-03-01T17:22:32Z,5Z-6Z0P-9TQQ,B08MW8XMNQ,0,0,1
2026-03-01T17:22:32Z,RW-AZK6-O4M2,B00F4LA0K0,0,0,1
2026-03-01T17:22:32Z,0G-JB6S-PN34,B07H2WXMDJ,1,1,0
2026-03-01T17:22:32Z,2G-AYBQ-TUQG,B002KFZKZ8,1,1,0
2026-03-01T17:22:32Z,3X-EXDD-TD2K,B0D6W9DZX4,0,0,1
2026-03-01T17:22:32Z,4W-VS57-BV6A,B0C9LJNJWZ,0,0,1
2026-03-01T17:27:05Z,6Q-9G2A-IKVV,B000PSB13C,1,1,0
2026-03-01T17:27:05Z,6V-EEC1-2S9Z,B06WW79DX5,1,1,0
2026-03-01T17:27:05Z,714810,B002BX8ZFG,0,0,1
2026-03-01T17:27:05Z,8M-NHB7-T8TR,B0B2RBG672,0,0,1
2026-03-01T17:27:05Z,8U-QPFH-3EKQ,B07T9WVBZ2,0,0,1
2026-03-01T17:27:05Z,9X-HL62-83C7,B00BEUFYE2,0,0,1
2026-03-01T17:27:05Z,A1-KSU1-GZMS,B07BC1CMDK,0,0,1
2026-03-01T17:27:05Z,A2-T2AC-TW3L,B006PFN3BW,0,0,1
2026-03-01T17:27:05Z,AF-KIHX-ANYY,B0001P15T4,0,0,1
2026-03-01T17:27:05Z,AX-NKNU-29C1,B08M52B4M5,1,1,0
2026-03-01T17:27:05Z,BL-WX51-KQOK,B0897VHKW6,1,1,0
2026-03-01T17:27:05Z,CJ-X0SS-QOUW,B0CG234KW1,0,0,1
