timestamp_utc,asof_date,marketplace,sku,asin,seller_id,seller_seen_flag,offer_price_gbp,offer_shipping_price_gbp,offer_landed_price_gbp,is_prime,fulfilment_channel,min_delivery_days,max_delivery_days,delivery_range_days,source,notes
2026-02-12T00:00:00Z,2026-02-12,UK,VF-3T0K-DR5O,B08KFFY86W,AJO4HUCJKGM4X,1,6.37,0.0,6.37,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,VF-3T0K-DR5O,B08KFFY86W,A2V6U7OVTWHOIQ,1,6.5,0.0,6.5,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,VF-3T0K-DR5O,B08KFFY86W,AWDEFA1PV5DF7,1,6.5,0.0,6.5,0,FBM,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,VF-3T0K-DR5O,B08KFFY86W,A3U8ECAOXIZYV1,1,9.45,0.0,9.45,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,VF-3T0K-DR5O,B08KFFY86W,A1R64IUNVWPSMR,1,9.55,0.0,9.55,0,FBM,2,3,1,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,VF-3T0K-DR5O,B08KFFY86W,A3VZBF976O8DK2,1,11.99,0.0,11.99,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,XY-UM2X-TPS3,B003VTZAM0,AWANDGFK915DA,1,9.99,0.0,9.99,1,FBM,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,XY-UM2X-TPS3,B003VTZAM0,A3HM7WA2CBSOPA,1,10.92,0.0,10.92,0,FBM,4,5,1,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,XY-UM2X-TPS3,B003VTZAM0,A2F2QWF9KOYS5K,1,10.99,0.0,10.99,0,FBM,1,1,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,XY-UM2X-TPS3,B003VTZAM0,A1JBSHTRJ4VCVO,1,11.2,0.0,11.2,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,XY-UM2X-TPS3,B003VTZAM0,A2I9GFK5QTOYYM,1,11.44,0.0,11.44,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,XY-UM2X-TPS3,B003VTZAM0,AB5OM860MS57Z,1,11.47,0.0,11.47,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,XY-UM2X-TPS3,B003VTZAM0,AHND7IKI8FHV3,1,11.54,0.0,11.54,0,FBM,1,2,1,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,XY-UM2X-TPS3,B003VTZAM0,A31LES58YOQ58B,1,11.6,0.0,11.6,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,XY-UM2X-TPS3,B003VTZAM0,A26DO76QVK1JFR,1,11.99,0.0,11.99,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,4W-VS57-BV6A,B0C9LJNJWZ,A3KTD5M81YFDGM,1,34.99,0.0,34.99,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,4W-VS57-BV6A,B0C9LJNJWZ,A23VLR5KYFT1PR,1,34.99,0.0,34.99,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,4W-VS57-BV6A,B0C9LJNJWZ,A3P5ROKL5A1OLE,1,35.0,0.0,35.0,1,FBM,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,4W-VS57-BV6A,B0C9LJNJWZ,A3P5ROKL5A1OLE,1,35.0,0.0,35.0,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,4W-VS57-BV6A,B0C9LJNJWZ,AB5OM860MS57Z,1,35.91,0.0,35.91,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,4W-VS57-BV6A,B0C9LJNJWZ,A2UD95CFO7TBZQ,1,35.95,0.0,35.95,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,4W-VS57-BV6A,B0C9LJNJWZ,A2UD95CFO7TBZQ,1,35.96,0.0,35.96,0,FBM,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,4W-VS57-BV6A,B0C9LJNJWZ,A16ZATMMFE8J3Y,1,35.99,0.0,35.99,1,FBM,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,4W-VS57-BV6A,B0C9LJNJWZ,ARKFZSTQBZS2,1,37.25,0.0,37.25,0,FBM,2,3,1,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,4W-VS57-BV6A,B0C9LJNJWZ,AEU2J2P6WG61R,1,37.59,0.0,37.59,1,FBM,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,4W-VS57-BV6A,B0C9LJNJWZ,A1U2WCBY9FQRJ5,1,38.38,0.0,38.38,0,FBM,1,2,1,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,4W-VS57-BV6A,B0C9LJNJWZ,AAOJ3B4Z594LC,1,38.89,0.0,38.89,0,FBM,2,3,1,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,4W-VS57-BV6A,B0C9LJNJWZ,A3HM7WA2CBSOPA,1,39.12,0.0,39.12,0,FBM,1,1,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,4W-VS57-BV6A,B0C9LJNJWZ,A2N6W6R4NFCNBX,1,39.69,0.0,39.69,0,FBM,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,4W-VS57-BV6A,B0C9LJNJWZ,A30DC7701CXIBH,1,40.27,4.49,44.760000000000005,1,FBM,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,4W-VS57-BV6A,B0C9LJNJWZ,A3KTB05DIFHO8V,1,44.99,0.0,44.99,0,FBM,1,2,1,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,TJ-6LOP-OPEU,B08P63MSS9,A3IIOPC5WY6KKR,1,8.68,0.0,8.68,0,FBM,1,2,1,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,TJ-6LOP-OPEU,B08P63MSS9,A2JJBX08NHT52K,1,4.61,4.08,8.690000000000001,0,FBM,1,2,1,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,TJ-6LOP-OPEU,B08P63MSS9,AB5OM860MS57Z,1,8.98,0.0,8.98,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,TJ-6LOP-OPEU,B08P63MSS9,A2FWYQ039SD442,1,8.98,0.0,8.98,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,TJ-6LOP-OPEU,B08P63MSS9,AHPS0P3VVEPP4,1,9.88,0.0,9.88,0,FBM,1,1,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,RZ-6ZL9-CZ7J,B075XT2J8X,A15X20ZKTLRSBW,1,6.35,0.0,6.35,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,RZ-6ZL9-CZ7J,B075XT2J8X,A3C70I7GKRCETI,1,6.35,0.0,6.35,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,RZ-6ZL9-CZ7J,B075XT2J8X,A11153KMTVDZI1,1,6.6,0.0,6.6,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,RZ-6ZL9-CZ7J,B075XT2J8X,AQ5QH5GRISO14,1,6.6,0.0,6.6,0,FBA,0,3,3,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,RZ-6ZL9-CZ7J,B075XT2J8X,AB5OM860MS57Z,1,6.97,0.0,6.97,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,RZ-6ZL9-CZ7J,B075XT2J8X,A196JBKNW3T4BS,1,3.27,4.1,7.369999999999999,0,FBM,1,1,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,RZ-6ZL9-CZ7J,B075XT2J8X,A1R64IUNVWPSMR,1,7.47,0.0,7.47,0,FBM,2,3,1,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,RZ-6ZL9-CZ7J,B075XT2J8X,A1QKNW4W5SPM7T,1,7.61,0.0,7.61,0,FBM,1,1,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,RZ-6ZL9-CZ7J,B075XT2J8X,A6VPZZ5FEXGVE,1,8.99,0.0,8.99,0,FBM,1,1,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,RZ-6ZL9-CZ7J,B075XT2J8X,A2JJBX08NHT52K,1,5.07,4.08,9.15,0,FBM,1,2,1,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,RZ-6ZL9-CZ7J,B075XT2J8X,A35UPYDMLICYZX,1,10.56,0.0,10.56,0,FBM,1,1,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,XH-0LAE-FQO5,B00AOES9GE,A1EGWKJ2C3AMWH,1,6.7,0.0,6.7,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,XH-0LAE-FQO5,B00AOES9GE,A2YMCJJAZ04D29,1,6.7,0.0,6.7,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,XH-0LAE-FQO5,B00AOES9GE,A2V6U7OVTWHOIQ,1,6.8,0.0,6.8,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,XH-0LAE-FQO5,B00AOES9GE,AB5OM860MS57Z,1,6.9,0.0,6.9,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,YC-3L3M-BV48,B0CTD6Q6KY,AQ20HDTW7QNBM,1,74.0,0.0,74.0,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,YC-3L3M-BV48,B0CTD6Q6KY,AB5OM860MS57Z,1,74.26,0.0,74.26,1,FBA,0,0,0,SPAPI,
2026-02-12T00:00:00Z,2026-02-12,UK,YC-3L3M-BV48,B0CTD6Q6KY,A3P5ROKL5A1OLE,1,105.95,0.0,105.95,1,FBM,0,0,0,SPAPI,
2026-02-12T12:43:09Z,2026-02-12,UK,JB-RGB6-LZOJ,B0001P0DLU,A39VTM0CZSRJZA,1,6.35,0.0,6.35,0,FBM,0,0,0,SPAPI,
2026-02-12T12:43:09Z,2026-02-12,UK,JB-RGB6-LZOJ,B0001P0DLU,AKBY7ZMYYJKZC,1,6.9,0.0,6.9,0,FBM,1,1,0,SPAPI,
2026-02-12T12:43:09Z,2026-02-12,UK,JB-RGB6-LZOJ,B0001P0DLU,A3HM7WA2CBSOPA,1,6.91,0.0,6.91,0,FBM,2,3,1,SPAPI,
2026-02-12T12:43:09Z,2026-02-12,UK,JB-RGB6-LZOJ,B0001P0DLU,A24NGU5R55LIUJ,1,7.43,0.0,7.43,0,FBM,1,1,0,SPAPI,
2026-02-12T12:43:09Z,2026-02-12,UK,JB-RGB6-LZOJ,B0001P0DLU,A3V2W4NCHQN1W7,1,7.66,0.0,7.66,0,FBM,0,0,0,SPAPI,
2026-02-12T12:43:09Z,2026-02-12,UK,JB-RGB6-LZOJ,B0001P0DLU,AY357ZGTL1GSV,1,7.8,0.0,7.8,0,FBM,1,1,0,SPAPI,
2026-02-12T12:43:09Z,2026-02-12,UK,JB-RGB6-LZOJ,B0001P0DLU,A1I8X3GIQ4LKR5,1,9.68,0.0,9.68,0,FBM,1,1,0,SPAPI,
2026-02-12T12:43:09Z,2026-02-12,UK,JB-RGB6-LZOJ,B0001P0DLU,A2PJYYPKZTZJ0V,1,9.95,0.0,9.95,0,FBM,1,1,0,SPAPI,
2026-02-12T12:43:09Z,2026-02-12,UK,JB-RGB6-LZOJ,B0001P0DLU,AB5OM860MS57Z,1,9.99,0.0,9.99,1,FBA,0,0,0,SPAPI,
2026-02-12T12:43:09Z,2026-02-12,UK,JB-RGB6-LZOJ,B0001P0DLU,A3V2W4NCHQN1W7,1,10.21,0.0,10.21,1,FBM,0,0,0,SPAPI,
2026-02-12T12:43:09Z,2026-02-12,UK,JB-RGB6-LZOJ,B0001P0DLU,A3SK1E64BDMB7W,1,12.56,0.0,12.56,0,FBM,1,1,0,SPAPI,
2026-02-12T12:43:09Z,2026-02-12,UK,JB-RGB6-LZOJ,B0001P0DLU,A91ZH6FZ52D9H,1,9.99,4.45,14.440000000000001,0,FBM,1,2,1,SPAPI,
