pnl_category,amount,scoped_total,delta
COMPENSATED_CLAWBACK,-10.47,0.0,10.47
Commission_Total,-1086.88,0.0,1086.88
Compensated_Clawback,0.0,0.0,0.0
Digital_Fee_Total,-52.71,0.0,52.71
FBA_Fee_Total,-1636.82,0.0,1636.82
Gift_Total,0.0,0.0,0.0
Gift_VAT,0.0,0.0,0.0
Inbound Transportation Fee,-23.74,0.0,23.74
Inbound_Transportation_Fee,0.0,-23.74,-23.74
Inventory_Reimbursement,0.0,-10.47,-10.47
Price_Total,5747.240000000001,6781.19,1033.949999999999
Price_VAT,1115.2200000000003,1133.76,18.539999999999736
Promotion_Total,-6.5,-0.68,5.82
REVERSAL_REIMBURSEMENT,50.91,0.0,-50.91
Refund_Commission,-6.46,0.0,6.46
Refund_Expenses_Total,0.0,58.53,58.53
Refund_Sales_Total,0.0,-366.21,-366.21
RemovalComplete,-2.76,0.0,2.76
Removal_Fee,0.0,-2.76,-2.76
Retrocharge_Total,0.0,-1.08,-1.08
Reversal_Reimbursement,0.0,65.69,65.69
Shipment_Expenses_Total,0.0,-6449.35,-6449.35
Shipping_Chargeback,-71.22,0.0,71.22
Shipping_Total,62.77,96.96,34.18999999999999
Shipping_VAT,16.7,10.4,-6.299999999999999
WAREHOUSE_LOST,8.04,0.0,-8.04
Warehouse_Lost_Reimbursement,0.0,8.04,8.04
